code,section,name,category
CRO10,Croatia,Croatia sticker 10,base
CRO11,Croatia,Croatia sticker 11,base
CRO12,Croatia,Croatia sticker 12,base
CRO13,Croatia,Team Photo - Croatia,base
CRO14,Croatia,Croatia sticker 14,base
CRO15,Croatia,Croatia sticker 15,base
CRO16,Croatia,Croatia sticker 16,base
CRO17,Croatia,Croatia sticker 17,base
CRO18,Croatia,Croatia sticker 18,base
CRO19,Croatia,Croatia sticker 19,base
CRO20,Croatia,Croatia sticker 20,base
GHA1,Ghana,Team Logo - Ghana,base
GHA2,Ghana,Ghana sticker 2,base
GHA3,Ghana,Ghana sticker 3,base
GHA4,Ghana,Ghana sticker 4,base
GHA5,Ghana,Ghana sticker 5,base
GHA6,Ghana,Ghana sticker 6,base
GHA7,Ghana,Ghana sticker 7,base
GHA8,Ghana,Ghana sticker 8,base
GHA9,Ghana,Ghana sticker 9,base
GHA10,Ghana,Ghana sticker 10,base
GHA11,Ghana,Ghana sticker 11,base
GHA12,Ghana,Ghana sticker 12,base
GHA13,Ghana,Team Photo - Ghana,base
GHA14,Ghana,Ghana sticker 14,base
GHA15,Ghana,Ghana sticker 15,base
GHA16,Ghana,Ghana sticker 16,base
GHA17,Ghana,Ghana sticker 17,base
GHA18,Ghana,Ghana sticker 18,base
GHA19,Ghana,Ghana sticker 19,base
GHA20,Ghana,Ghana sticker 20,base
PAN1,Panama,Team Logo - Panama,base
PAN2,Panama,Panama sticker 2,base
PAN3,Panama,Panama sticker 3,base
PAN4,Panama,Panama sticker 4,base
PAN5,Panama,Panama sticker 5,base
PAN6,Panama,Panama sticker 6,base
PAN7,Panama,Panama sticker 7,base
PAN8,Panama,Panama sticker 8,base
PAN9,Panama,Panama sticker 9,base
PAN10,Panama,Panama sticker 10,base
PAN11,Panama,Panama sticker 11,base
PAN12,Panama,Panama sticker 12,base
PAN13,Panama,Team Photo - Panama,base
PAN14,Panama,Panama sticker 14,base
PAN15,Panama,Panama sticker 15,base
PAN16,Panama,Panama sticker 16,base
PAN17,Panama,Panama sticker 17,base
PAN18,Panama,Panama sticker 18,base
PAN19,Panama,Panama sticker 19,base
PAN20,Panama,Panama sticker 20,base
CC1,Coca-Cola,Lamine Yamal - Spain,bonus
CC2,Coca-Cola,Joshua Kimmich - Germany,bonus
CC3,Coca-Cola,Harry Kane - England,bonus
CC4,Coca-Cola,Santiago Giménez - Mexico,bonus
CC5,Coca-Cola,Antonee Robinson - USA,bonus
CC6,Coca-Cola,Jefferson Lerma - Colombia,bonus
CC7,Coca-Cola,Edson Álvarez - Mexico,bonus
CC8,Coca-Cola,Virgil van Dijk - Netherlands,bonus
CC9,Coca-Cola,Alphonso Davies - Canada,bonus
CC10,Coca-Cola,Weston McKennie - USA,bonus
CC11,Coca-Cola,Lautaro Martínez - Argentina,bonus
CC12,Coca-Cola,Gabriel Magalhães - Brazil,bonus
